0,1,2,3,4,5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Vince Taylor,Le Rock C'Est Ca,Sweet Little Sixteen,2003,TRATWFN128F932CEF6,1MxvEbRKANYgT5Zw12ymOp,0.325,0.902,9,-3.793,1,0.0656,0.43,0,0.284,0.733,87.606,200067
Word,Matumago X Press,Il rosso,2007,TRATWTI128F933B617,41VSf81LyFy9xeVSgjk8tD,0.89,0.78,10,-3.868,0,0.301,0.0181,0,0.117,0.819,104.001,188373
Karen Peck & New River,Journey of Joy,Behind The Line Of Grace,2007,TRATWHT128F4259F82,5ix4HIqqRLGBep5OVmqewd,0.552,0.343,11,-7.049,1,0.0322,0.678,0,0.0822,0.39,125.54,218973
Jimmy Witherspoon,Jimmy Witherspoon & Panama Francis' Savoy Sultans,Rain Keeps Falling Down,2008,TRATWHC128F42644DA,0lZAh2R7Q1FuUQyO7KYNXm,0.528,0.273,1,-8.392,1,0.114,0.373,0,0.0428,0.339,175.396,198267
Adolph Hofner,South Texas Swing,We Played A Game,1994,TRATWTC128F4291AB3,2VooNFRp2SeLU2pepLaGmv,0.856,0.246,7,-16.211,1,0.0562,0.969,0.0101,0.336,0.933,105.123,152027
María,Besos,Cuenta Conmigo,2017,TRATWQQ128F426F1EC,4c1Q1p6Fm87Cnszj0JNxaA,0.502,0.194,7,-9.205,1,0.0423,0.886,0,0.119,0.219,89.247,195253
Rick Ross / Carol City Cartel,Port Of Miami,It Ain't A Problem,2006,TRATXMS128EF340BEC,1FEVD3JEFqwFTLTpn5Inza,0.732,0.677,10,-6.858,0,0.21,0.0491,0.00000569,0.0732,0.389,95.625,227613
Palito Ortega,20 Secretos de Amor - Palito Ortega,Te Fuiste En Abril,2004,TRATXHO128F9338653,31DbaM6D46tpT0szeiLLRk,0.538,0.459,9,-8.07,1,0.0301,0.767,0.0000022,0.15,0.855,103.149,134347
Paul Taylor,Hypnotic,Dream State,2001,TRATXIS128F92D9676,3XUyz3ttsUfHcqLGJV0Xds,0.733,0.659,2,-5.684,0,0.0844,0.143,0.00309,0.0788,0.455,95.013,267000
Mongo Santamaria,Brazilian Sunset,Soca Mi Nice,1996,TRATYZP128F4236CBD,7l3CDQ5wdK51xNvD3er7o4,0.544,0.913,0,-9.608,1,0.0736,0.663,0.88,0.812,0.838,151.586,235493
Erik Tronic,Eric Release (2041),Kyotronics,2008,TRATYIA128F92DECEA,0aYVYzQwOAZpbit81KpeWC,0.606,0.541,4,-5.969,1,0.0273,0.291,0.936,0.109,0.41,129.934,257093
Nestor Torres,Dances_ Prayers_ & Meditations For Peace,Peace With Myself,2006,TRATYQP12903CF5881,4DYXZSukAAeFpnAFKS6K6d,0.759,0.731,10,-9.914,0,0.0617,0.0623,0.71,0.0267,0.789,93.96,249520
Roberto Perera,Sensual,A Puro Dolor,2002,TRATYKD12903CF5C27,4gSLVg3qKNQeJKHwQl1fbU,0.654,0.453,7,-10.727,1,0.0297,0.663,0.928,0.113,0.25,129.996,225067
Paulo Flores,Live - Ao vivo,Poema do semba,2012,TRATZDT12903CAECE5,09ltruC3rKoF9aZXvc1Ifl,0.813,0.7,0,-9.042,0,0.065,0.432,0.00054,0.141,0.93,118.001,296640
Thomas Battenstein,Light & Colours,East West,2019,TRAUAZA12903CE27E8,64IKKmGDJZuRR6Frl4RDuQ,0.475,0.475,5,-12.938,1,0.0444,0.00942,0.508,0.104,0.347,101.71,343733
Mademoiselle Sane,La petite boite en fer,La petite boite en fer,2007,TRAUAIF128F931AABA,3w9Etlk82iHJSCqKtUm36r,0.556,0.189,11,-10.372,0,0.0359,0.799,0.000119,0.136,0.0651,121.116,218000
Save As,Chillhouse Planet_ Vol. 2,Fanfara,2012,TRAUBYD12903CEB7FF,2cBknx42lEdPoqjEH7L2jQ,0.802,0.827,0,-11.851,0,0.044,0.041,0.921,0.0733,0.97,128.019,229274
Patrick Eudeline,Mauvaise Etoile,La Nuit,2007,TRAUBOA128F9312C2D,0lcFy13AagmfPLbq5WXcyN,0.486,0.621,9,-8.033,0,0.0344,0.0695,0,0.0525,0.358,117.042,188347
Piero Esteriore,Io Vivo,Io Vivo,2009,TRAUBPL128F92E34F4,2ZDmellULrdzXHaqIQc8DU,0.572,0.715,0,-5.718,1,0.0263,0.0355,0,0.622,0.162,100.054,246613
Jean Lumière,Best of 40's and 50's_ Vol. 131,La chanson des genêts,2009,TRAUBMV12903CA3379,5FPn6GMf288mP9VwaGRA3S,0.378,0.237,5,-11.027,1,0.0316,0.947,0,0.163,0.432,86.521,183040
Taking Back Sunday,Live From Bamboozle 2009,You Know How I Do [Live From Bamboozle],2009,TRAUBMP128F9307E1C,4gWf8NujhFsQtpalCNUfC1,0.187,0.972,3,-5.625,1,0.125,0.000009,0.0106,0.322,0.242,165.07,227573
Grup Knar,Anadolu Ermeni Halk Müzigi,Ay Nare Nare,1999,TRAUBHS128F426F902,1fcb2aE2mFJwj6iAW8zakn,0.469,0.488,7,-7.51,1,0.0373,0.886,0,0.11,0.683,122.563,381701
Hard Romantic,Sincerely_,Romanza,2010,TRAUCJN12903CB6A24,5CNs5NbXQKcb0vCsvR1XkT,0.428,0.2,5,-17.99,1,0.029,0.928,0.897,0.189,0.226,81.979,269560
P.O.S,Never Better,Drumroll (We're All Thirsty),2009,TRAUCRP128F931364D,7ABPrWFl9EowGgSLmzhYaG,0.347,0.951,10,-4.867,0,0.472,0.00472,0,0.346,0.617,79.781,157080
Helen Love,Calm Down Dad,Calm Down Dad,2009,TRAUCIQ12903D00769,259NZlIf0ZgOjFDNOM77m3,0.786,0.83,2,-4.684,1,0.0666,0.174,0,0.343,0.902,102.515,145333
Gathering,Gathering,Brampton To Roadhead,2009,TRAUCUG128F92F99CA,0W14svHUY1T8Kfq3HqdvGP,0.615,0.553,4,-9.402,0,0.035,0.123,0.00682,0.0585,0.524,94.908,245600
Languis,Split,Cable,2007,TRAUCXI128F4216A3D,4qFy6PMWdioAKlLffbRAsl,0.404,0.579,1,-16.329,1,0.0585,0.797,0.733,0.111,0.433,96.848,199000
Dynamix,Tribal Sunrise Volume 4,Bodyfly (Dynamix original version),2006,TRAUCTG128F4241F69,07kpOTdZlLyURllShmLav3,0.711,0.898,8,-5.674,1,0.0436,0.000229,0.876,0.176,0.562,127.993,451040
Redman / Saukrates / Icadon,Red Gone Wild,Get 'em,2007,TRAUCCU128EF342E18,4Y0ZdZGGtsj9MrP6XqFnya,0.639,0.774,4,-12.794,0,0.502,0.0137,0,0.872,0.506,91.695,204240
Lidell Townsell,The Next Generation,Duh Duh Da,2011,TRAUCPN128F4290BDC,4K9zmoGYzSmbVcRlDa78iD,0.803,0.785,0,-10.544,1,0.0499,0.00000479,0.915,0.0647,0.97,124.995,309440
Krayzie Bone,Lyrical Paraphernalia,Let It All Go,2015,TRAUDNM12903CDEF32,6ALwmYgSCYj0digteoMyKy,0.588,0.742,6,-5.203,1,0.0518,0.0153,0,0.258,0.555,90.512,175747
Mariano Yanani,Babies Go To Sleep,Canon In D Major (J. Pachelbel),2003,TRAUEGP128F429B06C,2YRV0byPUUD40nPm2sPMch,0.115,0.215,2,-15.331,1,0.043,0.971,0.91,0.13,0.314,171.787,192373
Michelle Tumes,Dream,Love Shines Through  (Dream Album Version),2001,TRAUEIZ128F14AE167,3I7lI2zjPrkvx1IJA90JqQ,0.655,0.858,5,-5.164,1,0.0328,0.00509,0.0000469,0.0807,0.539,120.037,232173
Rocky Whatule,Comedy Ping-Pong,Friends Of All Races,2009,TRAUEHX12903CA6E22,314v4P82b0fFPz2XUQOkPg,0.366,0.975,1,-8.086,1,0.696,0.703,0,0.868,0.516,86.367,283760
Mohammad Nouri,Paeez - Persian Music,Morghe Eshgh,1996,TRAUFRH128F93502AC,7g3ERUXURZNGNKfK8ya1Cc,0.314,0.123,3,-15.758,1,0.0324,0.972,0.115,0.23,0.253,86.652,224027
Eko Fresh feat. Capkekz,Hart(z) IV,Das ist mein Viertel,2006,TRAUFRR128F930B7CC,74Av2rPn9Tflj10ZNT8HGz,0.697,0.88,7,-2.199,0,0.139,0.274,0,0.0794,0.599,94.9,236160
Barbara Fairchild,He Kept On Loving Me,The Other Side Of That Hill,2006,TRAUFZP12903CF266F,0GBpJiIDZCFFp3AO2gvfGw,0.487,0.496,2,-7.145,1,0.0281,0.181,0,0.125,0.365,151.978,329240
Caballo Dorado,No dejes de bailar,Me vuelves loco,2000,TRAUFLO12903CCE816,3UbYs1GJSYVytGS0xyczfF,0.673,0.685,2,-7.971,1,0.0307,0.0263,0.00000121,0.178,0.681,80.807,190171
Lonnie Brooks,Sweet Home Chicago (Paris 1975) (Blues Reference),Two Guitars Shuffle (take 1),2008,TRAUGTX128F92DCEFD,12oK4Rn20bJrHqFlKP1z9Q,0.591,0.551,4,-10.962,1,0.0306,0.0946,0.802,0.178,0.754,123.565,353333
Mykill Miers,The Trials Of Job,Listen,2006,TRAUGRP128F92D84A5,7ehLYt3aiKn8gXedyUk4GG,0.83,0.485,11,-14.207,0,0.524,0.293,0,0.0587,0.824,91.059,236507
Carl Davis,DAVIS_ C.: Cranford (Davis),Cranford: Deborah's Vigil,2010,TRAUHZI12903CF91BE,2Tisj0v7EhL7mhAnBu49Mz,0.168,0.0758,7,-22.583,1,0.045,0.986,0.817,0.113,0.0396,74.707,167293
Joe Turner,Diggin' Deeper Volume 3,Nobody In Mind,2005,TRAUHJH128F92CA20E,5IlKBw5Nk85HiLNU4S7fwt,0.594,0.186,9,-13.42,0,0.0334,0.841,0,0.306,0.388,78.157,221853
Jason Miles,Miles To Miles,Suba,2005,TRAUKPE128F425ED86,0qg8R6xucY1Of26VuCa16u,0.786,0.681,6,-8.863,0,0.113,0.012,0.424,0.0327,0.537,97.978,256147
Samba Mapangala and Orchestra Virunga,African Classics,Siri,2001,TRAUKQD128F932C66D,62OHj4RwPKSLWDCnTjO5j5,0.509,0.76,9,-8.842,0,0.0655,0.222,0.000882,0.0712,0.786,111.227,306893
Jay Pérez,Tesoros De Colección,Ya Basta,1994,TRAUKJZ128F9335412,4MYJoHkzP0clyyAP1kVta2,0.657,0.54,0,-11.006,1,0.0339,0.474,0,0.0642,0.819,104.858,195200
Hank Penny,Hank Penny: Crazy Rhythm: The Standard Transcriptions,Wang Wang Blues,1996,TRAUKLO128F4256A09,1al26lYmWZoZZwWS2VvhCn,0.633,0.319,5,-10.355,1,0.0307,0.926,0.84,0.0516,0.776,95.391,126960
Joe Lynn Turner,Nothing's Changed [Original Recording Remastered],Knock Knock,1995,TRAULZV12903CF968F,1XCxbjqmnsixOEJ2RNoLOI,0.577,0.936,7,-6.641,1,0.0358,0.0162,0.0000488,0.0522,0.673,80.566,231147
The Fureys,The Fureys Finest,The Lonesome Boatman,2007,TRAULZX128F92F5464,7nXz7VOInzgcDLOlqYFbzO,0.321,0.429,9,-13.085,0,0.106,0.411,0.00543,0.876,0.379,99.183,478400
Eddy Raven,That Good Old Gospel Music_ Volume 2,Love Lifted Me,2007,TRAUMMP12903C9D5C4,4Z5aeAjbXqljDhQHcKmKTt,0.676,0.332,7,-12.837,1,0.0267,0.363,0.00000158,0.269,0.475,77.078,143907
Pep Laguarda & Tapineria,Brossa D'ahir,Caseta del Plater,2004,TRAUNIH128F92F6365,13GJxA2L73BqqD987ZwkuB,0.504,0.269,0,-14.488,1,0.0351,0.866,0.144,0.111,0.184,124.95,340933
Rod Bernard,Voices Of Americana: Rod Bernard,Cajun Honey (Cajun Lovin' Style),2009,TRAUNMO128F92F4C25,2P2gqHfmJWLorN0GDnpzHG,0.615,0.406,7,-13.829,1,0.0296,0.016,0.00319,0.311,0.853,77.565,103453
Ann Lee,2 People,2 People,2009,TRAUNOS12903CB782D,6gMhNNgd6kMePuqx8oNcXl,0.846,0.803,2,-5.792,0,0.091,0.0355,0.0895,0.734,0.706,128.001,376992
Lonnie Johnson,Lonnie Johnson Vol. 2  (1926 - 1927),South Bound Water,1991,TRAUOBO128F4280122,1thlKpjqynR9lHnQegg7I3,0.724,0.127,2,-19.36,1,0.046,0.971,0.0000312,0.0849,0.481,82.036,166113
The Antripodean Collective,The Massacre of the Egos,The Very Conscious,2008,TRAUOLH128F92FA158,3Ozw82GMQvTdQ4iHY14S0U,0.449,0.33,8,-11.746,1,0.103,0.897,0.579,0.045,0.11,138.964,720533
Jean Lumière,The Greatest Hits from 40's and 50's_ Vol. 8,Je suis le passeur du printemps,2009,TRAUPAX12903CBB54D,4w6Qjumwf5kJ79DxPoYKwf,0.503,0.272,10,-8.684,1,0.041,0.966,0,0.12,0.341,118.437,143533
Sivuca,Sivuca - Enfim Solo,Forró Praieiro,2013,TRAUPYX128F930B426,6LtFlMchVPHC2de7wEk9St,0.501,0.385,0,-13.263,1,0.0468,0.852,0.896,0.302,0.461,107.763,202800
Flink,Moog,Russian Doll,2007,TRAUPTJ128F92DFDF8,6FtnAtNtKn1NTecDqXSPG4,0.488,0.906,11,-4.164,0,0.0423,0.000122,0.00271,0.206,0.616,131.964,273720
Scott Ainslie,Terraplane,Chumpman Blues,1995,TRAUPBI128F4231325,0Kxouoy5runADNkVscB5Ir,0.525,0.427,2,-10.193,1,0.0355,0.836,0.0000524,0.114,0.731,88.737,175067
Tyree,Jack'd Volume 1,My M.B. Thang,2007,TRAUPNY12903C9DE65,3ynR3KbnJ6PRopj8vmtrdI,0.814,0.961,8,-10.054,0,0.057,0.000935,0.911,0.0677,0.923,121.005,400320
Evolution,L'apparenza,My Own Way,2009,TRAUQUO128F92F8340,4F1WdmmQHfW5Qw5GR4rMgb,0.521,0.799,2,-5.501,0,0.0404,0.0243,0.00273,0.124,0.37,97.028,209707
Peloton,Selected Recordings,Beloki,2007,TRAUQKE12903CBD5B5,1bNrPQJ4DNCRfG2w866PZv,0.356,0.0512,1,-19.818,0,0.0385,0.973,0.633,0.122,0.0763,69.293,238480
Bomb Squad,Channel U,BOMB SQUAD,2014,TRAURXW128F428B9EC,0GKIegQmWZxsSO8pJFoY6M,0.677,0.829,11,-8.121,1,0.0375,0.00713,0.887,0.0663,0.215,139.979,61649
The Jordanaires & Orion,Christmas To Elvis from The Jordanaires,Joy to the World,2009,TRAURFD12903CBA5DD,0kq3kvNzXnixB9WLoaxoqP,0.593,0.34,3,-15.704,1,0.0484,0.866,0,0.125,0.638,106.598,99333
The Prefects,Live In 1978 At The Festival Suite_ Birmingham Co-op,Background Music: The Greatest Ever Punk Sing-Along! (Live),2006,TRAURJF128F428B618,3D8q9zIEkeltwekbk4GClY,0.334,0.671,9,-18.254,1,0.068,0.264,0.746,0.567,0.467,103.285,266573
Slum Village,Fantastic Vol. 2.10,Climax (Instrumental Mix),2010,TRAURSF12903CBFCBA,6phS0dmak9yAw1vhYJAj9T,0.815,0.315,8,-8.422,0,0.0708,0.324,0.0849,0.638,0.431,95.612,203000
The Merry Macs,Classic Years of The Merry Macs,Dolores,2005,TRAUSVR12903CD57A5,1tqWk3Uu8gXqvQY5mXeD68,0.538,0.179,8,-8.893,1,0.0344,0.956,0.0189,0.133,0.482,91.543,194853
KMD,KMD And The Rave,Change Your Mind,1995,TRAUSKE128F930FB12,6kXoVB9YWx9gk8N1q4z6SG,0.617,0.729,1,-11.229,0,0.0445,0.00171,0.0142,0.122,0.551,120.01,239133
Eddie,No Control,Beautiful Lies,2009,TRAUTBP12903D0BD6B,5AebRfjaAZKzDuoGmCbAzy,0.732,0.396,9,-9.593,0,0.0389,0.087,0.0000109,0.136,0.611,153.981,318760
Telecast,The Beauty of Simplicity,Covered (The Beauty Of Simplicity Album Version),2003,TRAUTSN128F14ADD4A,0xSCHgSKVIty39IVXDC1MW,0.418,0.266,4,-13.399,1,0.0287,0.871,0.00000362,0.0985,0.211,169.869,197920
María Elena Walsh,Todos Cantamos Con Maria Elena,Canción De Títeres,2003,TRAUUFZ128F933AB89,7r2oYUZ0f1xCthdw7P8nok,0.69,0.299,1,-10.725,1,0.0347,0.821,0,0.0898,0.745,111.225,115240
Don & Juan,Don & Juan,Sincerely,2009,TRAUUQJ12903CBB6B4,6eJZOeFIHxyLNxeheXB0PK,0.264,0.471,2,-10.327,1,0.0311,0.607,0.00000124,0.25,0.683,98.776,148173
Mack and Jamie,Extreme Channel Surfing,Althea Cooley,2002,TRAUUQO128F4297426,4Bh9vSw01TGQipCVpmUa5m,0.807,0.314,6,-13.498,1,0.888,0.759,0,0.497,0.968,106.195,27627
Bob Wills,For The Last Time,Yearning Just For You,1994,TRAUUEG128F428F323,2V6eqS4RyOGLr6A5pNwTbJ,0.344,0.345,2,-11.282,1,0.0306,0.619,0.000979,0.123,0.784,174.851,160533
Bruisers,Cruising For A Bruising,2 Fists Full Of Nothing,1993,TRAUVMS128F933D938,6KIKCY62VcnEhq2R9kIRnw,0.433,0.805,9,-10.221,1,0.0536,0.0000494,0.000289,0.104,0.635,134.812,289027
Selena,Mis Primeros Exitos - Selena 20 Years Of Music,Cien Anos,2015,TRAUVTO128F4297AA2,2PAo9vxNI34cHnYqYBDPFa,0.705,0.742,2,-4.478,1,0.0387,0.487,0.00000521,0.0653,0.953,181.146,191133
Jimmy Riley,Pleasure Island 2001,Amaze,2001,TRAUVLK12903CA55FD,6ZvtWOXpmmvKxBxCngpmXv,0.699,0.654,1,-5.724,1,0.0326,0.381,0.00000172,0.208,0.595,159.816,216360
Fabián,Espera a la Primavera,Mis calles de arena,2007,TRAUWJA12903CDAEA1,5oQomsT06Ony1tkmcH6g2W,0.438,0.715,5,-6.606,1,0.0352,0.546,0.00425,0.235,0.612,170.173,241842
Gabriel Grossi,Diz que fui por aí,Cai dentro,2005,TRAUWIE128F92F6064,4hLLXXY0vADMWRdgNs1SoK,0.584,0.848,7,-7.19,1,0.0431,0.315,0.657,0.0538,0.711,142.936,254707
Frenchy,Bumps & Grinds,Smith & Wesson,2012,TRAUXCQ128F932C0D9,0GL2SDqTz73vW99y7k7eJh,0.511,0.733,10,-7.365,0,0.0528,0.362,0.0000115,0.583,0.742,96.114,246267
Silverchair,Freak Show/Neon Ballroom,Spawn (Again),1999,TRAUXSO128F42B863C,2Bzx47OJqE54EmN6ppiMMZ,0.319,0.859,1,-6.597,1,0.0609,0.0167,0.00405,0.104,0.233,138.175,207573
Eddie and the Subtitles,Fuck You Eddie!,Louie Louie,2008,TRAUYYW128F92E9E8F,5MZNAkquBM0BYKzylG7hcG,0.35,0.927,2,-7.136,1,0.07,0.034,0,0.0876,0.773,153.507,141000
Marygold,Turned Left But Don't Know If It Was Right,Neglected,2003,TRAUYLE128F424C824,76fYItX0tB96LVqhY8Sgyz,0.6,0.908,7,-4.362,0,0.031,0.0495,0.0277,0.113,0.508,133.849,225141
Henri Pousseur,Electronic experimental and microtonal 1953-1999,Prospection,2010,TRAUYKN128F933067A,3KrXxx7KVZi8VKvln45bWy,0.521,0.0804,0,-20.475,1,0.119,0.963,0.806,0.0864,0.17,78.26,299013
The Wiyos,Broken Land Bell,Dontchaletmecatchya,2009,TRAUYRJ12903CE6C00,6kRhi6QDCJKDySDjIr2UiY,0.698,0.542,7,-9.997,1,0.0679,0.695,0.000804,0.245,0.903,96.744,187413
4 Skins,Singles And Rarities,A.C.A.B. (Bumper Sessions),1999,TRAUZAP128F92F281A,3L4vEkqBKqFjnDkfLZGeP3,0.342,0.968,4,-5.438,1,0.222,0.000805,0.551,0.164,0.485,140.359,89440
Eddie Calvert,Memories Of You,Tenderly,2007,TRAUZED128F4274561,4nytswsJc0BTri3zcoeRob,0.321,0.428,0,-8.605,1,0.0313,0.456,0.963,0.635,0.0901,129.247,176289
The Wicklows,Country 'n' Irish - 20 All Time Favourites,Dirty Ol' Town,2017,TRAVAAN128F9359AAE,2rsmu1wXhgkM7CzksPZPKO,0.714,0.365,5,-10.988,1,0.0321,0.819,0.0000197,0.295,0.547,124.344,152040
DJ Godfather,Live in Australia,Night on William Street,2003,TRAVABY12903C9ECFB,45XmkwEq6iGMnG3LUJtAIP,0.765,0.933,7,-15.466,1,0.0799,0.000347,0.946,0.0923,0.271,147.018,204093
Abbott & Chambers,Never After,Never After,2007,TRAVAUF128F93033E5,76yUeDFSfWQ67D8G650qB5,0.499,0.929,7,-9.114,0,0.056,0.000264,0.922,0.0736,0.492,135.988,425622
Electrostatic,Awake Alone,Today,2002,TRAVAXS128F932CB2A,1aIqyqTYyZTbobKi0xBEKy,0.331,0.946,6,-6.728,1,0.12,0.137,0.00784,0.073,0.585,86.644,285893
Arkona,Lepta,Epilogue,2008,TRAVADZ12903CA4D29,48P42ZMEgXbmw0IbGa0hl7,0.316,0.381,2,-13.444,1,0.035,0.337,0.96,0.113,0.131,110.338,110067
Bally Sagoo,Ragga Muffin Mix 1991,Hey Jamalo ((Def Mix)),1994,TRAVALP128F92E38A1,5fl8YxRWhXpW27gUCgRB2g,0.817,0.668,2,-12.099,1,0.079,0.00851,0.0107,0.153,0.419,115.555,433427
Gran Coquivacoa,Gaiton N°5,Tamborera No. 6,2008,TRAVBWV128F92D964D,3KgcT2dEqaGugezhHFTUGe,0.723,0.867,8,-8.597,1,0.128,0.063,0,0.0993,0.942,123.235,173917
Charles Aznavour,C'est Ça,Tant Que L'on S'aimera,2014,TRAVBSQ128EF344B3C,4bG6JhoiMsb5YfzwddyXjy,0.514,0.294,5,-9.769,1,0.0289,0.723,0,0.113,0.478,100.042,147933
Alice Stuart,All The Good Times,Bad Girl,2002,TRAVBZD128F4244549,1NVEIQxiXQhtQKcKKO9thj,0.574,0.17,3,-8.717,0,0.0329,0.878,0,0.0846,0.22,119.944,189947
Twenty 4 Seven,Best of,Take Your Chance,1993,TRAVCTG12903CFF7F9,5QD0B7htXm18D0Rd58q6Es,0.574,0.789,8,-12.083,1,0.0314,0.00067,0.0938,0.0448,0.837,141.944,216467
Corderoy,Rock Guitar,Rock Guitar,2009,TRAVCKQ128F935BC1E,1U8oCUhswWkkJnFB4BETyi,0.491,0.973,2,-6.649,0,0.0497,0.0000792,0.876,0.0752,0.188,138.007,488002
Joi,One And One Is One,Oh My People,2015,TRAVCWS128F1469EE2,07QObUCSXug93WU28HJ6QV,0.594,0.793,7,-9.17,1,0.0388,0.00761,0.615,0.0733,0.572,90.995,323173
Rainer Bielfeldt,Alles nur ein Traum,Das große Segel,2008,TRAVCBH128F9315585,5osJjubDJPIbXdX80pbVCH,0.515,0.624,0,-7.441,1,0.0298,0.625,0,0.34,0.358,77.003,198013
Marc Perrone,Voyages,Serenade valse,2006,TRAVDDS12903CDD092,66uz6T2vH9OgYCNE25s8KJ,0.339,0.175,9,-15.976,0,0.035,0.827,0.000327,0.156,0.545,94.658,62560
John Brown,Burbstrumentals_ Vol. 1,The Scenic Route,2008,TRAVEMF12903CAF953,3Zf5XNGnrsi0XSZrFFdAPI,0.448,0.808,7,-7.258,1,0.0371,0.000701,0,0.76,0.607,95.971,59969
Mind Furniture,Hoop of Flame,Hoop of Flame (IV. Glimpse of a Chance),2009,TRAVEGK12903CA4E42,07oIKUt64bhCcFdX1VaPPB,0.388,0.427,9,-13.107,0,0.0325,0.647,0.0116,0.146,0.261,134.042,517507
Orquesta Sublime,Sabor A Cuba,Son Los Años,2014,TRAVEGQ128F92D94C4,0NQm83w3EznZGHMmo908u4,0.676,0.49,0,-7.489,0,0.0548,0.691,0,0.197,0.909,126.215,173038
Jack Sheldon,Playing For Change,Dear Ann,2007,TRAVEQI128F426F935,0TEeG2JFlLz9eE8CU0dG9A,0.621,0.383,0,-11.938,1,0.0413,0.908,0.87,0.121,0.406,113.22,319400
Paul Overman,10 Minutes to Relax: Peaceful Retreat,Morning Rain Music by Jorge Alfano,2008,TRAVFKG12903CB2235,4rQ6SmRBgVvCY4jqv0zIKE,0.2,0.0186,11,-26.107,0,0.0395,0.995,0.921,0.0924,0.31,75.175,564293
Line Renaud,Les Années Chansons,Sept Coeurs,2018,TRAVFVU128F14743B6,2gIOG24pMyUcpjm8nsS4dv,0.601,0.728,8,-4.829,1,0.147,0.731,0,0.35,0.9,76.679,168133
Scott Wesley Brown,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,Pray For Me (One Step Closer Album Version),1995,TRAVGFX128F14ADFED,4U5TfJbWcY4CSg1unG5JWO,0.478,0.256,2,-12.217,1,0.0253,0.646,0,0.179,0.235,80.28,235867
Jimmy Witherspoon,Blue Spoon/Spoon In London,Man Don't Cry,2001,TRAVGLC128F931535B,12F7GfPO5aOUeT7Ng0iSJI,0.628,0.331,7,-10.852,0,0.0338,0.808,0,0.349,0.596,111.411,126000
Mr.De',Electrofunk Greatest Hits,Throw,2009,TRAVGXU128F92F3854,7jas80csLd9TRTmOqtVD6S,0.821,0.605,1,-10.326,1,0.204,0.0132,0.0629,0.0698,0.639,80.196,203373
The Elders,Racing the Tide,Send a Prayer,2008,TRAVHPV128F933E986,04YArtLIKkv66wL0aGBLRJ,0.592,0.788,0,-6.783,1,0.0403,0.0241,0,0.214,0.626,111.351,297267
John Berry,Those Were the Days,Those Were the Days,2006,TRAVIVD128F934029B,5EeurRmHAMP0NyZavVy1S8,0.538,0.411,4,-8.883,1,0.0293,0.219,0.00000179,0.113,0.249,135.858,230413
Marga Gomez,Hung Like A Fly,Filumena Fabulosa,1998,TRAVISL128F4213009,7H0aH4GFHbbNwbV7klC0EQ,0.635,0.676,7,-11.351,1,0.917,0.695,0,0.969,0.56,82.835,313200
Vangelis,Mythodea - Music for the NASA Mission: 2001 Mars Odyssey,Mythodea - Music for the NASA Mission: 2001 Mars Odyssey/Movement 7,2001,TRAVIZG128F4266E68,1EMCcU36fdAot9bpsUVjW5,0.1,0.34,7,-15.028,1,0.0367,0.86,0.152,0.255,0.0383,179.094,297760
Tito Allen,Salsa,Nadie Como Tu,2018,TRAVJXS128F931C380,1bAAbvbHSEaFJWDtsKuVQQ,0.785,0.561,0,-12.244,1,0.0433,0.413,0.00000167,0.0712,0.843,95.994,287760
Roger Reynolds,Process And Passion,Binaural Presentation - Kokoro. Pt. 5,2004,TRAVJNA128F421FFE0,6T1uXDrTHhntc3swzo87Kw,0.141,0.00281,9,-43.249,1,0.0542,0.863,0.0183,0.0862,0.0354,93.918,313667
Gustavo Cerati,Siempre Es Hoy/Reversiones,Tu Cicatriz En Mi,2002,TRAVJDB128F93305EB,7gPVoEPs8iLkkq3DXPtAjj,0.674,0.69,3,-7.702,0,0.0529,0.0216,0.496,0.316,0.504,95.591,257507
Antonio Koudele,Kaleidoscope,Once Upon A Time,2000,TRAVKHZ128F930058B,2mY5kqkezrdjAP1smCkThk,0.757,0.379,2,-17.963,1,0.0371,0.657,0.781,0.117,0.497,134.162,319440
Hank Locklin,I Always Lose,Who Do You Think You're Fooling,2019,TRAVKSX128F92EF211,4g5N4dUCMZDpKeoC5yClPh,0.733,0.244,2,-12.267,1,0.0389,0.971,0,0.145,0.738,76.978,170893
Mike Vax,Live On The Road,Nada Mas,2003,TRAVKYW128F421750B,02v0XH2CZABmD2ccpZQEbZ,0.447,0.262,0,-18.858,0,0.0319,0.917,0.897,0.724,0.354,94.145,192960
Joe Bonamassa,A New Day Yesterday Live,Jam Intro,2005,TRAVKUT128F93462CE,16OFtbfcHcDCvtV7ZEVnTs,0.429,0.847,2,-9.813,1,0.0552,0.00263,0.736,0.863,0.482,107.438,201080
Alexandre Desplat,Afterwards,White Sand,2008,TRAVLHT12903CAF2F6,41I6LcqJ38dv86lZUwGHeU,0.27,0.0334,6,-30.326,1,0.0324,0.982,0.92,0.0913,0.069,68.318,78533
Gian Marco,A Tiempo,Te Mentiría,1998,TRAVLNW128F4272F05,3LSRGvBWTdnUBJC32oBFnZ,0.748,0.718,4,-8.131,1,0.0612,0.266,0,0.241,0.627,100.001,227800
